method,file,line,snippet
getSession,src/components/AuthCallback.jsx,25,"const { data: { session }, error: sessionError } = await supabase.auth.getSession();"
onAuthStateChange,src/components/AuthPage.js,18,"const { data: { subscription } } = supabase.auth.onAuthStateChange((event, session) => {"
getUser,src/config/Database.js,12,"const { data: { user }, error } = await supabase.auth.getUser()"
getUser,src/config/supabase.js,200,"const { data, error } = await supabase.auth.getUser(token);"
getSession,src/context/AuthContext.jsx,91,"const { data: { session }, error } = await supabase.auth.getSession();"
refreshSession,src/context/AuthContext.jsx,203,"const { data: refreshData, error: refreshError } = await supabase.auth.refreshSession();"
onAuthStateChange,src/context/AuthContext.jsx,245,"const { data: { subscription: sub } } = supabase.auth.onAuthStateChange("
onAuthStateChange,src/pages/ArbitroPanelPage.jsx,10,"const { data: { user } } = supabase.auth.onAuthStateChange((event, session) => {"
getUser,src/pages/ConfiguracionCuenta.jsx,34,"const { data: { user } } = await supabase.auth.getUser();"
getSession,src/pages/EditarPerfil.jsx,15,"const { data: session } = await supabase.auth.getSession();"
getUser,src/pages/FeedPage.jsx,35,"const { data } = await supabase.auth.getUser();"
getSession,src/pages/LoginPage.jsx,34,"const { data: { session } } = await supabase.auth.getSession();"
getSession,src/pages/Notificaciones.jsx,9,"const { data: session } = await supabase.auth.getSession();"
getUser,src/pages/PartidoArbitroPanel.jsx,40,"const { data: { user: currentUser } } = await supabase.auth.getUser();"
getSession,src/pages/PerfilInstagram.jsx,69,"const { data } = await supabase.auth.getSession();"
getSession,src/pages/RankingJugadoresCompleto.jsx,24,"const { data } = await supabase.auth.getSession();"
getSession,src/pages/RegistroPerfil.jsx,80,"const { data } = await supabase.auth.getSession();"
getSession,src/pages/RegistroPerfil.jsx,98,"const { data: sessionRes } = await supabase.auth.getSession();"
getUser,src/pages/TorneoDetalleCompleto.jsx,28,"const { data: { user: currentUser } } = await supabase.auth.getUser();"
getUser,src/pages/TransmisionEnVivo.jsx,50,"const user = (await supabase.auth.getUser()).data.user;"
getSession,src/pages/auth/AuthCallback.jsx,22,"const { data: { session }, error: sessionError } = await supabase.auth.getSession()"
getSession,src/pages/auth/AuthCallback.jsx,72,"const { data: { session: session2 } } = await supabase.auth.getSession()"
getSession,src/services/AuthService.js,388,"'Authorization': `Bearer ${(await supabase.auth.getSession()).data.session?.access_token}`"
getSession,src/services/AuthService.js,415,"'Authorization': `Bearer ${(await supabase.auth.getSession()).data.session?.access_token}`"
getUser,src/services/AuthService.js,311,"const { data: { user } } = await supabase.auth.getUser()"
onAuthStateChange,src/services/AuthService.js,614,"return supabase.auth.onAuthStateChange((event, session) => {"
getUser,src/services/ContentModerationService.js,261,"const { data: usuario } = await supabase.auth.getUser();"
getSession,src/services/MobileManager.js,352,"const { data, error } = await supabase.auth.getSession();"
getSession,src/services/RealtimeService.js,25,"const { error } = await supabase.auth.getSession();"
getSession,src/services/conexionEfectiva.js,89,"const { data, error } = await supabase.auth.getSession();"
getSession,src/services/conexionEfectiva.js,249,"const { data, error } = await supabase.auth.getSession();"
getSession,src/services/flujoCompletoRegistro.js,43,"const { data: session, error: sessionError } = await supabase.auth.getSession();"
getSession,src/services/flujoCompletoRegistro.js,139,"const { data: session } = await supabase.auth.getSession();"
onAuthStateChange,src/supabaseClient.js,111,"supabase.auth.onAuthStateChange((event, session) => {"
getSession,src/utils/AuthCallback.js,22,"const { data: { session }, error } = await supabase.auth.getSession();"
getSession,src/utils/authFlowManager.js,269,"const { data: { session }, error } = await supabase.auth.getSession();"
getSession,src/utils/diagnostico-produccion.js,53,"const { data, error } = await supabase.auth.getSession();"
getSession,src/utils/registroCompleto.js,306,"const { data: session } = await supabase.auth.getSession();"
